EXERCISE_ID | NAME | MET | CATEGORY | 
1   | 108배 | 2 | LIFE
2   | AB 롤아웃 | 8 | UPPER
3   | TRX 운동 | 7 | UPPER
4   | wty운동 | 7 | UPPER
5   | W익스텐션 | 4 | UPPER
6   | 걷기 | 3 | LIFE
7   | 검도 | 6 | LIFE
8   | 게이트볼 | 3 | LIFE
9   | 계단내려가기 | 3 | LIFE
10  | 계단오르기 | 8 | LIFE
11  | 고블릿 스쿼트 | 5.5 | LOWER
12  | 고전무용 | 6 | LIFE
13  | 고정식 자전거 | 5.5 | CARDIO
14  | 골프 | 4.8 | LIFE
15  | 국민체조 | 3.5 | LIFE
16  | 권투펀칭 | 6 | UPPER
17  | 기체조 | 4.5 | LIFE
18  | 낚시 | 3 | LIFE
19  | 난타 | 3.8 | LIFE
20  | 노르딕워킹 | 6 | LIFE
21  | 농구슈팅 연습 | 4.5 | UPPER
22  | 농구시합 | 8 | LIFE
23  | 다이어트 댄스 | 4.5 | LIFE
24  | 다트 | 2.5 | LIFE
25  | 달리기 | 7 | CARDIO
26  | 당구 | 2.5 | LIFE
27  | 대청소 | 3 | LIFE
28  | 댄스스포츠 | 5.5 | LIFE
29  | 덤벨 바디 로테이션 | 5 | UPPER
30  | 덤벨 숄더프레스 | 5.5 | UPPER
31  | 덤벨 프레스 | 5 | UPPER
32  | 덤벨 플라이 | 5.5 | UPPER
33  | 덩키킥 | 7 | LOWER
34  | 데드 리프트 | 5.5 | LOWER
35  | 데드버그 | 4 | UPPER
36  | 뒤로 걷기 | 3 | LIFE
37  | 등산 | 7 | LIFE
38  | 디스코 댄스 | 7.8 | LIFE
39  | 딥스 | 5.5 | UPPER
40  | 뛰기 | 7 | CARDIO
41  | 라인댄스 | 7.8 | LIFE
42  | 라켓볼연습 | 7 | LIFE
43  | 러시안트위스트 | 4 | UPPER
44  | 런닝 | 7 | CARDIO
45  | 런닝머신 | 6 | CARDIO
46  | 런지 | 3.8 | LOWER
47  | 레그 레이즈 | 5 | LOWER
48  | 레그 익스텐션 | 5 | LOWER
49  | 레그 컬 | 5 | LOWER
50  | 레그 킥 백 | 5 | LOWER
51  | 레그 프레스 | 5 | LOWER
52  | 레터럴 레이즈 | 5 | UPPER
53  | 레프팅 | 5 | LIFE
54  | 렛풀다운 | 5 | UPPER
55  | 로드바이크 | 8.5 | CARDIO
56  | 로프운동 | 6 | UPPER
57  | 루마니안 데드리프트 | 5 | LOWER
58  | 리버스 컬 | 5 | LOWER
59  | 리버스 팩 덱 플라이 | 4 | UPPER
60  | 마라톤 | 9 | CARDIO
61  | 마운틴 클라이머 | 7 | UPPER
62  | 마이마운틴 | 5.5 | LIFE
63  | 맨발걷기 | 4.5 | LIFE
64  | 맨손 줄넘기 | 7 | LIFE
65  | 모던댄스 | 4.8 | LIFE
66  | 모래주머니 차고 걷기 | 6.8 | LIFE
67  | 바벨 숄더프레스 | 5.5 | UPPER
68  | 바벨 스쿼트 | 6 | LOWER
69  | 발레 | 5 | LIFE
70  | 방송댄스 | 7 | LIFE
71  | 배구연습 | 4 | LIFE
72  | 배드민턴 | 4.5 | LIFE
73  | 백 스쿼트 | 6 | LOWER
74  | 백 익스텐션 | 3.5 | UPPER
75  | 밸리댄스 | 4.5 | LIFE
76  | 버드독 | 3.8 | UPPER
77  | 버피테스트 | 7 | CARDIO
78  | 번지피지오 | 5 | LIFE
79  | 벤치 프레스 | 5 | UPPER
80  | 벤치딥스 | 3 | UPPER
